nppes_provider_state,beneficiary_age_less_65_total,beneficiary_age_65_74_total,beneficiary_age_75_84_total,beneficiary_age_greater_84_total,beneficiary_female_total,beneficiary_male_total,beneficiary_race_white_total,beneficiary_race_black_total,beneficiary_race_api_total,beneficiary_race_hispanic_total,beneficiary_race_natind_total,beneficiary_race_other_total,beneficiary_nondual_total,beneficiary_dual_total,beneficiary_cc_afib_total,beneficiary_cc_alzrdsd_total,beneficiary_cc_asthma_total,beneficiary_cc_cancer_total,beneficiary_cc_chf_total,beneficiary_cc_ckd_total,beneficiary_cc_copd_total,beneficiary_cc_depr_total,beneficiary_cc_diab_total,beneficiary_cc_hyperl_total,beneficiary_cc_hypert_total,beneficiary_cc_ihd_total,beneficiary_cc_ost_total,beneficiary_cc_raoa_total,beneficiary_cc_schiot_total,beneficiary_cc_strk_total
AK,69624.0,212797.0,117354.0,39639.0,263523.0,201280.0,319835.0,10773.0,13990.0,6944.0,35929.0,3675.0,314109.0,132006.0,54098.0,46234.0,58933.0,48710.0,89143.0,122272.0,76645.0,98927.0,140472.0,193853.0,286835.0,142384.0,29747.0,186563.0,14339.0,20851.0
AL,1453357.0,2990823.0,2055958.0,847350.0,4373723.0,3061731.0,5643195.0,984326.0,12739.0,34529.0,4217.0,22358.0,5564128.0,1684504.0,1013006.0,1067497.0,1203228.0,877812.0,1907572.0,2342222.0,1648080.0,1863956.0,2821564.0,4562164.0,5485728.0,3129434.0,622063.0,3589108.0,376714.0,604070.0
AR,701991.0,1466973.0,1067935.0,470260.0,2217675.0,1540064.0,3014468.0,240476.0,3932.0,21821.0,18900.0,7717.0,2781746.0,921482.0,536269.0,605051.0,539776.0,438417.0,968261.0,1048431.0,806484.0,1016392.0,1251720.0,1971514.0,2667437.0,1667988.0,335112.0,1577993.0,244731.0,311688.0
AZ,651448.0,3229886.0,2159173.0,889696.0,3932034.0,3185126.0,5795496.0,138687.0,42769.0,419973.0,124150.0,52934.0,5391174.0,897168.0,1062566.0,793296.0,1043079.0,980678.0,1389869.0,2281434.0,1264047.0,1592588.0,2193411.0,4217804.0,4792961.0,2678092.0,704890.0,3189142.0,221408.0,529290.0
CA,3978847.0,11223330.0,8199083.0,4486163.0,16364371.0,12164981.0,18904273.0,1458417.0,2283744.0,3825825.0,65498.0,302029.0,17682179.0,9482919.0,4087186.0,4486838.0,4331713.0,3578667.0,7484534.0,9390650.0,5245632.0,7327724.0,10544267.0,16768825.0,19508921.0,11503393.0,3178929.0,12640281.0,1731870.0,2334479.0
CO,677253.0,1998172.0,1262603.0,620894.0,2674028.0,2022941.0,3705129.0,137368.0,32440.0,293331.0,11544.0,34845.0,3451361.0,910602.0,600039.0,595605.0,660032.0,543859.0,916269.0,1320595.0,851391.0,1243231.0,1262260.0,2189782.0,2857607.0,1508120.0,420207.0,2040474.0,198873.0,301793.0
CT,731480.0,1782214.0,1512115.0,1023248.0,3010620.0,2130944.0,4122893.0,314519.0,25322.0,231816.0,1611.0,48001.0,3467713.0,1591804.0,939607.0,902434.0,875201.0,722295.0,1381026.0,1629715.0,1037358.0,1531726.0,1740766.0,3194803.0,3652166.0,2022495.0,535681.0,2169507.0,368526.0,410146.0
DE,233848.0,697206.0,472548.0,215026.0,945870.0,694250.0,1289114.0,221407.0,7187.0,21828.0,252.0,12070.0,1285493.0,310884.0,281531.0,252439.0,261292.0,217531.0,384695.0,537358.0,332375.0,438130.0,633171.0,1143994.0,1190422.0,704678.0,135648.0,755924.0,69415.0,171662.0
FL,3605864.0,10849666.0,8970552.0,4943807.0,16330938.0,12474455.0,22606768.0,1967249.0,84124.0,2159093.0,12469.0,176040.0,21363280.0,6146572.0,5034812.0,5262877.0,4898279.0,4217667.0,7728494.0,10240400.0,6926643.0,8262419.0,10988778.0,19792967.0,20956749.0,14457264.0,3321802.0,14167360.0,1765780.0,2791884.0
GA,1933034.0,4292388.0,2881189.0,1264752.0,6137809.0,4433684.0,7691852.0,1694305.0,63043.0,112233.0,4976.0,39158.0,7649410.0,2548131.0,1464502.0,1591295.0,1617148.0,1292755.0,2686636.0,3659828.0,2271964.0,2778119.0,3993539.0,6530804.0,7697285.0,4235310.0,806159.0,4725740.0,559455.0,894533.0
