state,condition,low_ave,high_ave,med_ave
AK,atrial_fib,23230.33,125914.38,66520.4
AK,asthma,39671.25,39671.25,39671.25
AK,chronic_kidney,33573.05,85931.38,49956.47
AK,pulmonary,24221.72,42489.37,37934.18
AK,depression,32929.76,32929.76,32929.76
AK,diabetes,28591.98,90528.36,59560.17
AK,hyperlip,0.0,0.0,0.0
AK,hypertension,0.0,0.0,0.0
AK,ischemia,34110.5,377660.9,140419.89
AK,arthritis,0.0,0.0,0.0
AK,psychotic,0.0,0.0,0.0
AK,stroke,0.0,0.0,0.0
AL,atrial_fib,15217.5,114787.51,40189.75
AL,asthma,20504.89,26113.39,22320.4
AL,chronic_kidney,22482.39,78535.78,39772.41
AL,pulmonary,20371.5,36829.23,27307.11
AL,depression,20081.01,24226.52,21329.64
AL,diabetes,21284.29,36187.36,28914.47
AL,hyperlip,52276.58,57458.5,56543.05
AL,hypertension,20447.78,20977.66,20712.72
AL,ischemia,28811.97,162332.05,86536.29
AL,arthritis,21351.93,21351.93,21351.93
AL,psychotic,28418.49,28508.23,28463.36
AL,stroke,0.0,0.0,0.0
AR,atrial_fib,10146.39,93844.01,26502.89
AR,asthma,14362.61,15929.95,15146.28
AR,chronic_kidney,13563.81,85100.13,23413.75
AR,pulmonary,12391.43,24686.16,18218.87
AR,depression,10084.93,14646.23,11300.11
AR,diabetes,13717.61,33513.38,17135.42
AR,hyperlip,32420.84,38871.74,35646.29
AR,hypertension,11794.94,20215.59,14634.81
AR,ischemia,20205.05,124703.18,66277.27
AR,arthritis,13294.42,13294.42,13294.42
AR,psychotic,12383.89,16392.46,14388.17
AR,stroke,0.0,0.0,0.0
AZ,atrial_fib,19390.56,110286.94,45587.73
AZ,asthma,26948.3,28787.22,27867.76
AZ,chronic_kidney,23440.56,64018.08,32143.9
AZ,pulmonary,27655.22,37910.7,31891.41
AZ,depression,27908.77,28687.28,28298.02
AZ,diabetes,27898.9,37988.41,32757.52
AZ,hyperlip,48712.04,52924.82,50818.43
AZ,hypertension,24673.97,24673.97,24673.97
AZ,ischemia,33293.63,153915.05,93258.14
AZ,arthritis,17300.27,17300.27,17300.27
AZ,psychotic,0.0,0.0,0.0
AZ,stroke,60615.45,60615.45,60615.45
CA,atrial_fib,34152.9,144452.96,64225.44
CA,asthma,49947.45,52309.41,51128.43
CA,chronic_kidney,40217.84,135259.28,58622.75
CA,pulmonary,42166.0,63936.31,52403.47
CA,depression,44328.01,59196.2,51512.58
CA,diabetes,46901.84,59276.28,52368.1
CA,hyperlip,86675.31,93153.64,89914.48
CA,hypertension,40071.63,40071.63,40071.63
CA,ischemia,49517.28,265644.34,133500.8
CA,arthritis,62444.29,65073.08,63758.68
CA,psychotic,59939.27,59939.27,59939.27
CA,stroke,119519.16,126137.56,122828.36
CO,atrial_fib,21434.38,111833.98,40747.21
CO,asthma,28320.21,28320.21,28320.21
CO,chronic_kidney,27698.78,84321.02,37966.79
CO,pulmonary,25445.57,39715.26,32020.43
CO,depression,30989.69,35677.28,33333.48
CO,diabetes,28932.52,41638.59,35285.55
CO,hyperlip,54949.38,55610.42,55279.9
CO,hypertension,27081.77,27081.77,27081.77
CO,ischemia,52622.25,145900.87,94627.29
CO,arthritis,28203.22,28203.22,28203.22
CO,psychotic,40014.77,40014.77,40014.77
CO,stroke,52169.5,52169.5,52169.5
CT,atrial_fib,15700.74,59214.44,29271.9
CT,asthma,20202.77,22313.49,21258.13
CT,chronic_kidney,16869.49,42886.71,25051.86
CT,pulmonary,16932.24,27465.55,21002.97
CT,depression,25092.84,30720.0,27716.57
CT,diabetes,21348.74,27547.84,23443.68
CT,hyperlip,28801.02,29541.17,29171.09
CT,hypertension,19726.8,20226.72,19976.76
CT,ischemia,20842.04,71120.14,42524.29
CT,arthritis,18925.92,18925.92,18925.92
CT,psychotic,32975.59,32975.59,32975.59
CT,stroke,49459.87,82622.75,66041.31
DE,atrial_fib,12534.59,88279.1,35955.88
DE,asthma,13736.81,17519.1,15627.96
DE,chronic_kidney,14397.8,75328.01,22648.04
DE,pulmonary,14211.33,20945.52,18313.43
DE,depression,15966.3,25176.52,20571.41
DE,diabetes,14239.8,22692.3,17392.21
DE,hyperlip,24660.0,26331.66,25495.83
DE,hypertension,12764.45,12764.45,12764.45
DE,ischemia,17730.41,102375.2,59749.12
DE,arthritis,15628.14,17663.18,16645.66
DE,psychotic,25989.36,25989.36,25989.36
DE,stroke,39210.33,71937.96,49764.95
FL,atrial_fib,19896.22,137202.46,55988.46
FL,asthma,27246.63,33794.68,29928.39
FL,chronic_kidney,25940.64,86003.63,39800.7
FL,pulmonary,26119.01,44682.46,34761.16
FL,depression,25611.57,31604.12,28538.87
FL,diabetes,26794.11,42807.28,33295.2
FL,hyperlip,67935.12,70814.07,69374.59
FL,hypertension,25284.88,26470.66,25877.77
FL,ischemia,32082.66,189717.23,99364.72
FL,arthritis,25999.62,32212.78,29106.2
FL,psychotic,33621.98,34170.88,33896.43
FL,stroke,64722.95,86777.73,75750.34
GA,atrial_fib,15866.56,70827.21,33574.3
GA,asthma,21366.22,22957.61,22161.92
GA,chronic_kidney,20020.68,69315.77,29437.72
GA,pulmonary,19158.07,31743.56,24849.88
GA,depression,19602.32,25941.07,22777.02
GA,diabetes,19855.16,34524.01,25957.74
GA,hyperlip,48135.74,54161.06,51148.4
GA,hypertension,20135.93,20135.93,20135.93
GA,ischemia,25852.65,133573.67,73573.19
GA,arthritis,28070.23,28070.23,28070.23
GA,psychotic,24788.69,24788.69,24788.69
GA,stroke,61771.92,61771.92,61771.92
HI,atrial_fib,18197.4,49180.71,28967.44
HI,asthma,0.0,0.0,0.0
HI,chronic_kidney,20203.1,95773.48,25744.45
HI,pulmonary,22924.32,33998.98,28794.22
HI,depression,6765.26,8981.63,7873.45
HI,diabetes,22123.7,32584.48,22998.64
HI,hyperlip,0.0,0.0,0.0
HI,hypertension,17639.54,17639.54,17639.54
HI,ischemia,34121.21,109293.21,79076.53
HI,arthritis,0.0,0.0,0.0
HI,psychotic,45364.44,45364.44,45364.44
HI,stroke,0.0,0.0,0.0
IA,atrial_fib,11440.88,71820.25,28912.77
IA,asthma,21344.39,21344.39,21344.39
IA,chronic_kidney,14851.81,86725.79,24743.56
IA,pulmonary,15857.68,24055.86,18956.71
IA,depression,14222.63,16645.26,15384.1
IA,diabetes,17499.34,23409.37,20638.6
IA,hyperlip,41927.74,42245.06,42086.4
IA,hypertension,18642.54,18642.54,18642.54
IA,ischemia,26891.17,116081.01,67685.74
IA,arthritis,16100.36,16100.36,16100.36
IA,psychotic,32436.24,32436.24,32436.24
IA,stroke,0.0,0.0,0.0
ID,atrial_fib,14117.86,43344.34,23178.04
ID,asthma,16736.53,16736.53,16736.53
ID,chronic_kidney,15129.02,23761.68,17902.94
ID,pulmonary,15058.15,23987.91,18233.34
ID,depression,19199.65,24104.16,21651.91
ID,diabetes,16710.39,24903.13,20806.76
ID,hyperlip,34014.53,50295.33,42154.93
ID,hypertension,19654.06,19654.06,19654.06
ID,ischemia,25417.88,116148.03,78523.3
ID,arthritis,0.0,0.0,0.0
ID,psychotic,16759.36,16759.36,16759.36
ID,stroke,0.0,0.0,0.0
IL,atrial_fib,18110.91,96182.62,39862.35
IL,asthma,23699.8,27560.86,25801.7
IL,chronic_kidney,20517.35,79550.68,35020.19
IL,pulmonary,21016.87,35892.5,28075.92
IL,depression,20945.46,27578.84,24158.68
IL,diabetes,23576.48,35103.89,29149.03
IL,hyperlip,51083.16,52365.98,51724.57
IL,hypertension,19258.92,20628.07,19943.49
IL,ischemia,27936.06,157007.09,87658.34
IL,arthritis,18839.73,21124.61,20567.58
IL,psychotic,25295.33,30564.9,26278.22
IL,stroke,59922.66,69852.58,64887.62
IN,atrial_fib,14755.88,81218.64,31807.14
IN,asthma,18780.05,22829.72,20202.08
IN,chronic_kidney,16367.02,93171.38,28791.43
IN,pulmonary,16205.18,25668.99,20801.77
IN,depression,16028.47,24936.27,20718.13
