state,condition,year,current_cost,lower_bound,upper_bound
AK,atrial_fib,2018,78333.05396644598,66490.08010129118,90176.02783160078
AK,chronic_kidney,2018,53736.26586595462,41950.34821745846,65522.183514450786
AK,pulmonary,2018,45627.57754787906,33851.50004529671,57403.65505046141
AK,depression,2018,29107.756463949514,17353.34293900943,40862.1699888896
AK,diabetes,2018,39309.951206542806,27552.30145959699,51067.600953488625
AK,ischemia,2018,208493.13022183903,196024.3830051884,220961.87743848967
AL,atrial_fib,2018,46202.20540141763,34433.646160585966,57970.7646422493
AL,asthma,2018,28362.596954318145,16595.2647200887,40129.92918854759
AL,chronic_kidney,2018,41834.14996481938,30062.761805000955,53605.5381246378
AL,pulmonary,2018,32677.982457197,20911.746526590774,44444.21838780322
AL,depression,2018,24060.2424279202,12300.082064972765,35820.402790867636
AL,diabetes,2018,31841.688906941425,20082.80401658694,43600.57379729591
AL,hyperlip,2018,63667.10248914521,51884.83035530887,75449.37462298154
AL,hypertension,2018,32869.66988524576,21096.27114717986,44643.068623311665
AL,ischemia,2018,119518.07542884018,107691.73086399912,131344.41999368125
AL,arthritis,2018,20928.90764912375,9147.42236084562,32710.39293740188
AL,psychotic,2018,28131.992250261686,16367.219620148573,39896.7648803748
AL,stroke,2018,61487.66157150468,49700.53218027733,73274.79096273203
AR,atrial_fib,2018,33535.244084105136,21779.726619037254,45290.76154917302
AR,asthma,2018,20573.390123241763,8813.110240866603,32333.67000561692
AR,chronic_kidney,2018,26837.206952668428,15080.353279183282,38594.06062615357
AR,pulmonary,2018,23254.382552897783,11499.012910754194,35009.75219504137
AR,depression,2018,15251.982358819767,3494.862182817982,27009.10253482155
AR,diabetes,2018,24036.655832721735,12284.966886740753,35788.34477870272
AR,hyperlip,2018,35739.90252490851,23975.743864822158,47504.06118499486
AR,hypertension,2018,20297.70207746084,8536.686589142315,32058.717565779363
AR,ischemia,2018,88675.15153279094,76914.75401745808,100435.54904812381
AR,psychotic,2018,21994.36564825909,10229.834466065078,33758.8968304531
AR,stroke,2018,63175.14784850345,51388.834820858116,74961.46087614879
AZ,atrial_fib,2018,47937.99231360826,36062.69926847111,59813.28535874541
AZ,asthma,2018,38025.1325905711,26145.447734179266,49904.81744696293
AZ,chronic_kidney,2018,42491.97684787854,30614.07591801067,54369.87777774641
AZ,pulmonary,2018,42449.120730054055,30573.328447145846,54324.913012962264
AZ,depression,2018,37118.39045977175,25248.490227762813,48988.29069178068
AZ,diabetes,2018,42316.97783500531,30447.03849130338,54186.91717870724
AZ,hyperlip,2018,57797.388177615154,45920.707138849844,69674.06921638046
AZ,hypertension,2018,34614.38835037204,22729.898454519738,46498.87824622435
AZ,ischemia,2018,122267.02129487733,110369.40861035539,134164.63397939928
AZ,arthritis,2018,26684.253889037653,14785.67511441635,38582.832663658955
AZ,psychotic,2018,27539.320608326387,15648.814209908265,39429.82700674451
AZ,stroke,2018,71849.52608615259,59945.34652801887,83753.70564428631
CA,atrial_fib,2018,78760.1085203411,66455.50899633275,91064.70804434946
